,company_name,company_type,company_subtype
4698,LOS MONTES ASSETS S.A.,B2BC,Financial Services
4699,MONTES COMPANY S.A.,B2BC,Dealer
4700,MONTES BUSINESS LTD.,B2BC,Dealer
4701,MONTES DE SOUTELO INVESTMENTS LTD.,B2BC,Residential/Commercial
4702,MONTES INTERNATIONAL CORP.,B2B,Wholesale  Dealer
4703,AUTOMOTIVE SERVICES BEDOYA,B2BC,Auto
4704,SEPULVEDA-IRAGORRI LIMITED,B2BC,Contractor
4705,ZAPATA INTERNATIONAL LIMITED,B2B,Wholesale  Dealer
4706,ZAPATA MARINE SERVICES LIMITED,B2BC,Dealer
4707,ZAPATA LIMITED,B2BC,Residential/Commercial
4708,"ARDILA-MARMOLEJO, LTD.",B2BC,Dealer
4709,ARDILA INVEST LTD.,B2BC,Residential/Commercial
4710,CARDENAS INTERNATIONAL CORP,B2B,Wholesale  Dealer
4711,FARFALLA CAPITAL S.A.,B2BC,Financial Services
4712,FARFALLA PACIFIC INC.,B2B,Wholesale  Dealer
4713,FARFALLA FOUNDATION,PUB,Community Association
4714,FARFALLA N.V.,B2BC,Dealer
4715,FARFALLA SHIP CO. LIMITED,B2BC,Moving/Transfer Service
4716,MOSSFON VALORES E INVERSIONES S.A.,B2BC,Financial Services
4717,INVERSORA EN VALORES INMOBILIARIOS S.A.,B2BC,Entertainment Services
4718,VALORES Y BIENES CORPORATIVOS LIMITED,B2BC,Financial Services
4719,"TRANSACTA VALORES, S.A.",B2BC,Dealer
4720,VALORES INMOBILIARIOS LIMITED,B2BC,Financial Services
4721,"RECURSOS EN VALORES Y DESARROLLOS, LIMITADA",B2BC,Dealer
4722,"INVERSIONES DE VALORES PENINSULA, SOCIEDAD LIMITADA",PUB,Community Association
4723,"TRANSACTA VALORES, S.A.",B2BC,Dealer
4724,"FINANCIERA DE VALORES INMOBILIARIOS, S. A.",B2BC,Financial Services
4725,MOSSFON VALORES E INVERSIONES S.A..,B2BC,Financial Services
4726,VALORES MUNDIALES S.A.,B2BC,Entertainment Services
4727,INTERCREDIT VALORES LIMITED,B2BC,Financial Services
4728,"INVERSIONES, COMERCIO Y VALORES S.A.",B2BC,Entertainment Services
4729,SERVICIOS LEGALES Y VALORES BAHAMAS S.A.,B2BC,Financial Services
4730,VALORES VENETO N.V.,B2BC,Dealer
4731,INVERSIONES Y VALORES SELVA A.V.V.,B2BC,Entertainment Services
4732,INVERSIONES Y VALORES ZULIA  A.V.V.,B2BC,Entertainment Services
4733,VALORES Y DEPOSITOS LIMITED,B2BC,Financial Services
4734,INVERSIONES Y VALORES EL TEIDE S.A.,B2BC,Entertainment Services
4735,INVERSIONES Y VALORES LAS ISLAS S.A.,B2BC,Entertainment Services
4736,ACTIBOLSA SOCIEDAD DE VALORES S.A.,PUB,Community Association
4737,MUEBLES CASA & CAMPO S.A.,B2BC,Residential/Commercial
4738,CAMPO INTERNATIONAL INC.,B2B,Wholesale  Dealer
4739,DEL CAMPO INVESTMENT INC.,B2BC,Residential/Commercial
4740,CAMPO PUMA ORIENTE S.A.,B2BC,Food
4741,CAMPO REAL INVESTMENT INC.,B2BC,Residential/Commercial
4742,CAMPO PEQUENO INVESTMENT INC.,B2BC,Residential/Commercial
4743,DEL CAMPO EXPORTS S.A,B2B,Wholesale  Dealer
4744,CAMPO BELLO LTD,B2BC,Dealer
4745,CAMPO NUEVO FUNDACION,B2BC,Residential/Commercial
4746,YEGUADA CAMPO ALTO S.A.,B2BC,Food
4747,CAMPO LIMITED,B2BC,Contractor
4748,"CAMPO AZZURRO, LTD.",B2BC,Food
4749,CAMPO TRANS LTD.,B2BC,Food
4750,FLOR DO CAMPO INVESTMENTS LIMITED,B2BC,Residential/Commercial
4751,CAMPO MANAGEMENT S.A.,B2BC,Contractor
4752,CAMPO TROUPIAL LTD.,B2BC,Food
4753,"CAMPO DIRECT TRADING CO., LTD.",B2B,Wholesale  Dealer
4754,CAMPO DE COCOA HOLDINGS LTD.,B2BC,Residential/Commercial
4755,CAMPO BELO HOLDINGS LTD.,B2BC,Residential/Commercial
4756,BELLO CAMPO OVERSEAS CORPORATION,B2BC,Referral Services
4757,CAMPO INVESTMENTS LTD.,B2BC,Residential/Commercial
4758,CAMPO BASSO A.V.V.,B2BC,Food
4759,LIRIO DEL CAMPO,B2BC,Food
4760,FRUTERIA CAMPO,B2BC,Food
4761,CAMPO ARAL INVESTMENTS A.V.V.,B2BC,Residential/Commercial
4762,TROPICAL DEL CAMPO AVV,B2BC,Entertainment Services
4763,PANADERIA Y PASTELERIA DEL CAMPO N.V.,B2BC,Food
4764,EL CAMPO ENTERPRISES N.V. - INDEPENDENT TIME SHARE RESALES (I.T.R.),B2BC,Dealer
4765,"LIRIO DEL CAMPO ""SNACK""",B2BC,Food
4766,"LIRIO DEL CAMPO ""SNACK""",B2BC,Food
4767,CAMPO BELLO DEVELOPMENT  N.V.,B2BC,Contractor
4768,MEDINA DEL CAMPO LIMITED,B2BC,Residential/Commercial
4769,BELLO CAMPO INC,B2BC,Dealer
4770,CAMPO DI SOLE LTD,B2BC,Dealer
4771,CAMPO VERDE LIMITED,B2BC,Food
4772,ALERO ENTERPRISES S.A.,B2BC,Contractor
4773,ALERO FINANCE S.A.,B2BC,Financial Services
4774,ALERO INVESTMENTS S.A.,B2BC,Residential/Commercial
4775,ALERO LIMITED,B2BC,Contractor
4776,MILLAN TRADE S.A.,B2BC,Dealer
4777,COOL AND MC MILLAN  INTERNATIONAL INC,B2B,Wholesale  Dealer
4778,MC MILLAN COMPANY A.V.V.,B2B,Wholesale  Dealer
4779,MILLAN ENTERPRISES INC.,B2BC,Contractor
4780,MAC MILLAN FINANCIAL COMPANY INC.,B2BC,Financial Services
4781,"MILLAN INTERNATIONAL, LLC",B2B,Wholesale  Dealer
4782,MONDRAGON INTERNATIONAL CORP.,B2B,Wholesale  Dealer
4783,GRUPO AVILA & CIA S.A.,B2BC,Security Services
4784,AVILA INC.,B2BC,Contractor
4785,AVILA TRADING CORPORATION,B2B,Wholesale  Dealer
4786,AVILA CAPITAL RESOURCES GROUP INC,B2BC,Financial Services
4787,AVILA FINANCIAL GROUP LIMITED,B2BC,Financial Services
4788,AVILA ASESOR CORP.,B2BC,Contractor
4789,AVILA VENTURES LIMITED,B2BC,Residential/Commercial
4790,AVILA OVERSEAS LIMITED,B2BC,Referral Services
4791,AVILA CORP.,B2BC,Contractor
4792,AVILA AND TOVAR INVESTMENTS INC.,B2BC,Residential/Commercial
4793,EL AVILA CORPORATION,B2BC,Residential/Commercial
4794,AVILA OVERSEAS ASSOCIATED INC.,B2BC,Referral Services
4795,TOJO AVILA LIMITED,B2BC,Contractor
4796,AVILA HOLDINGS LIMITED,B2BC,Residential/Commercial
4797,AVILA INVEST & TRADE LTD.,B2BC,Financial Services
4798,AVILA-SAXE LIMITED,B2BC,Dealer
4799,AVILA INVESTMENTS N.V.,B2BC,Residential/Commercial
4800,AVILA INVESTMENTS B.V.,B2BC,Residential/Commercial
4801,BELEGGINGSMAATSCHAPPIJ AVILA B.V.,B2BC,Entertainment Services
4802,AVILA HOLDING A.V.V.,B2BC,Contractor
4803,TERRA AVILA N.V.,B2BC,Contractor
4804,AVILA LIMITED,B2BC,Contractor
4805,AVILA TELEVISION PRODUCTIONS LIMITED,B2BC,Electrical Contractor
4806,AVILA FINANCIAL SERVICES INC.,B2BC,Financial Services
4807,AVILA INVESTMENT INC.,B2BC,Residential/Commercial
4808,AVILA ADVISORS & INVESTMENTS LIMITED,B2BC,Financial Services
4809,AVILA LTD.,B2BC,Contractor
4810,"AVILA INVESTMENTS, INC.",B2BC,Residential/Commercial
4811,AVILA PROPERTIES CORPORATION,B2BC,Residential/Commercial
4812,AVILA SAILING LTD,B2BC,Dealer
4813,QUINTANA CORPORATION,B2BC,Contractor
4814,QUINTANA GRUPPO LTD.,B2BC,Residential/Commercial
4815,QUINTANA ASOCIADOS S.A.,B2BC,Entertainment Services
4816,QUINTANA VENTURES LTD.,B2BC,Residential/Commercial
4817,SP QUINTANA MALTA LIMITED,B2BC,Residential/Commercial
4818,OJEDA SHIPPING LIMITED,B2BC,Moving/Transfer Service
4819,VALLEJO GROUP LTD.,B2BC,Residential/Commercial
4820,VALLEJO S.A.,B2BC,Contractor
4821,VALLEJO VENTURES INC.,B2BC,Residential/Commercial
4822,CEDENO LIMITED,B2BC,Contractor
4823,"J.J. TELLO,S.A.",B2BC,Dealer
4824,TELLO CORP.,B2BC,Dealer
4825,ZAMORA EDITORES LTDA.,B2BC,Dealer
4826,ZAMORA LIMITED,B2BC,Contractor
4827,ZAMORA FINANCE LIMITED,B2BC,Financial Services
4828,ZAMORA INTERNATIONAL LTD.,B2B,Wholesale  Dealer
4829,ZAMORA INCORPORATED LTD.,B2BC,Contractor
4830,ZAMORA INVEST S.A.,B2BC,Financial Services
4831,ZAMORA PLAINES LTD.,B2BC,Residential/Commercial
4832,ZAMORA MANAGEMENT LIMITED,B2BC,Contractor
4833,ZAMORA GLOBAL LIMITED,B2B,Wholesale  Dealer
4834,ZAMORA LTD.,B2BC,Contractor
4835,ZAMORA CORPORATE LIMITED,B2BC,Contractor
4836,ESTRELLA CAPITAL ESTATES LLC,B2BC,Residential/Commercial
4837,ESTRELLA CAPITAL GROUP LTD.,B2BC,Financial Services
4838,ESTRELLA CAPITAL S.A.,B2BC,Financial Services
4839,ESTRELLA CAPITAL LIMITED,B2BC,Financial Services
4840,ESTRELLA RESOURCES LIMITED,B2BC,Financial Services
4841,"ESTRELLA GLOBAL ENTERPRISES, INC.",B2B,Wholesale  Dealer
4842,ESTRELLA ORIENTAL HOLDING LTD.,B2BC,Residential/Commercial
4843,FUNDACION ESTRELLA DEL NORTE,PUB,Community Association
4844,FUNDACION ESTRELLA DEL NORTE,PUB,Community Association
4845,COMPAÑIA ALTO DE LA ESTRELLA S.A.,B2BC,Food
4846,ESTRELLA HOLDINGS LTD. LDC,B2BC,Residential/Commercial
4847,LA ESTRELLA LIMITED,B2BC,Residential/Commercial
4848,ESTRELLA INVEST LTD.,B2BC,Residential/Commercial
4849,ESTRELLA TRADING LIMITED,B2B,Wholesale  Dealer
4850,ESTRELLA LIMITED,B2BC,Residential/Commercial
4851,ESTRELLA BRIGHT LTD.,B2BC,Contractor
4852,ESTRELLA INVERSIONES LTD.,B2BC,Dealer
4853,ESTRELLA DEVELOPMENTS LIMITED,B2BC,Contractor
4854,ZZZ-ESTRELLA ENTERPRISES LTD,B2BC,Dealer
4855,ESTRELLA A.V.V.,B2BC,Dealer
4856,REFRESQUERIA LA ESTRELLA,B2BC,Food
4857,CARNICERIA ESTRELLA,B2BC,Food
4858,ESTRELLA SELFSERVICE,B2BC,Financial Services
4859,ESTRELLA FARM,B2BC,Food
4860,REFRESQUERIA LA ESTRELLA,B2BC,Food
4861,ESTRELLA DAKOTA SUPERMARKET,B2BC,Food
4862,ESTRELLA VIDEO RENTALS,B2BC,Dealer
4863,PASTELLERIA ESTRELLA,B2C,Health and Beauty
4864,PASTELERIA ESTRELLA,B2C,Health and Beauty
4865,ESTRELLA CHICKENFARM,B2BC,Food
4866,PANADERIA ESTRELLA,B2BC,Food
4867,ESTRELLA BANDERA,B2BC,Food
4868,LA ESTRELLA SNACK,B2BC,Food
4869,FRUTERIA ESTRELLA,B2C,Health and Beauty
4870,LA ESTRELLA 2000,B2BC,Food
4871,LA ESTRELLA INTER-FAX,B2BC,Dealer
4872,LA ESTRELLA,B2BC,Food
4873,LA ESTRELLA 2000 N.V.,B2BC,Food
4874,ENCOMIENDAS ESTRELLA,B2BC,Food
4875,LA ESTRELLA BOUTIQUE & KAPSALON & MASSAGE CENTRUM,B2C,Health and Beauty
4876,ESTRELLA  2000 II,B2C,Health and Beauty
4877,LA ESTRELLA AMERICA,B2BC,Food
4878,LA ESTRELLA AMERICA II,B2BC,Food
4879,RESTAURANTE LINDA ESTRELLA V.O.F.,B2BC,Food
4880,ESTRELLA-LOTTERY,B2BC,Food
4881,ESTRELLA  AMERICA N.V. - ESTRELLA  AMERICA II,B2BC,Entertainment Services
4882,ESTRELLA AMERICA N.V. - LA ESTRELLA AMERICA/DAKOTA,B2BC,Entertainment Services
4883,ESTRELLA AMERICA N.V. - LA ESTRELLA AMERICA/NOORD,B2BC,Entertainment Services
4884,ESTRELLA  AMERICA N.V. - ESTRELLA  AMERICA CERTIFIED,B2BC,Instruction
4885,DUVIT STORES VBA - LA ESTRELLA JOYERIA,B2BC,Food
4886,DUVIT STORES VBA - LA ESTRELLA JOYERIA,B2BC,Food
4887,ESTRELLA INTERNATIONAL INC.,B2B,Wholesale  Dealer
4888,ESTRELLA LIMITED,B2BC,Residential/Commercial
4889,ESTRELLA REINSURANCE LIMITED,B2BC,Financial Services
4890,ESTRELLA DEVELOPMENT LTD,B2BC,Contractor
4891,PRIMER ESTRELLA CAPITAL CORP.,B2BC,Financial Services
4892,ESTRELLA SIRIUS LLC,B2BC,Entertainment Services
4893,ESTRELLA SIRIUS INTERNATIONAL TRUST,PUB,Community Association
4894,ESTRELLA LIMITED,B2BC,Residential/Commercial
4895,ESTRELLA DEL SOL INVEST S.A,B2BC,Financial Services
4896,SALINAS CONSULTING CORP.,B2BC,Computer Services
4897,SALINAS STRATEGIC HEALTH CARE S.A.,B2C,Health and Beauty
4898,SALINAS PROPERTIES S.A.,B2BC,Residential/Commercial
4899,SALINAS ENTERPRISES LIMITED,B2BC,Residential/Commercial
4900,SALINAS INVESTMENTS FOUNDATION,B2BC,Residential/Commercial
4901,SALINAS TRADING LTD.,B2B,Wholesale  Dealer
4902,SALINAS WORLDWIDE HOLDINGS LTD,B2BC,Residential/Commercial
4903,SALINAS LIMITED,B2BC,Residential/Commercial
4904,SALINAS OVERSEAS LIMITED,B2BC,Referral Services
4905,SALINAS INTERNATIONAL HOLDING LTD.,B2BC,Residential/Commercial
4906,SALINAS TRADING,B2B,Wholesale  Dealer
4907,SALINAS INVESTMENTS (BARBADOS) INC.,B2BC,Residential/Commercial
4908,"SALINAS VALLEY INVESTMENTS, INC",B2BC,Residential/Commercial
4909,SALINAS ADVISORS INC.,B2BC,Financial Services
4910,CUEVAS ASSOCIATES LIMITED,B2BC,Financial Services
4911,SIDEN & DE CUEVAS INTERNATIONAL S A,B2B,Wholesale  Dealer
4912,GUILLEN MERCHANTS CORPORATION,B2BC,Food
4913,HIJOS DE RAMON PUCHE S.L.,B2C,Health and Beauty
4914,CONSORCIO SEBASTIAN MARONESE E HIJOS-HNOS YARULL S.A.,B2C,Health and Beauty
4915,SANCHEZ E HIJOS,B2BC,Residential/Commercial
4916,AGUDELO TRADING CORP.,B2B,Wholesale  Dealer
4917,GIRALDO ESTATES INC.,B2BC,Residential/Commercial
4918,OSORIO CONSULTANTS S.A.,B2BC,Contractor
4919,OSORIO CONSULTANTS S.A.,B2BC,Contractor
4920,OSORIO TRADING CO.,B2B,Wholesale  Dealer
4921,BAJAN POSSE INC.,B2BC,Entertainment Services
4922,MARTAN GROUP S.A.,B2BC,Contractor
4923,MARTAN LIMITED,B2BC,Contractor
4924,CANDELO CONSULTANTS LIMITED,B2BC,Contractor
4925,SINALOA AIRCRAFT LEASING LIMITED,B2BC,Auto
4926,VALDEZ MANAGEMENT LTD.,B2BC,Residential/Commercial
4927,VALDEZ LIMITED,B2BC,Residential/Commercial
4928,VALDEZ CORP.,B2BC,Contractor
4929,"GONZALEZ · URIBE, I. L.P.",B2BC,Contractor
4930,"BARCENAS II, LLC",B2BC,Contractor
4931,"COMPU-MUNDO, S.A.",B2BC,Food
4932,GRUPO MUNDO S.A.,B2B,Wholesale  Dealer
4933,"MUNDO INTERATIVO CO., LIMITED",B2BC,Referral Services
4934,SABIDURIA DEL MUNDO S.A.,B2BC,Food
4935,RITMO MUNDO INTERNATIONAL LTD.,B2B,Wholesale  Dealer
4936,REVENDAS DE FERIAS NO MUNDO LIMITED,B2BC,Entertainment Services
4937,MUNDO GRAND DEVELOPMENT LIMITED,B2BC,Contractor
4938,EL NUEVO MUNDO FINANCIERO S.A.,B2BC,Financial Services
4939,NUEVO MUNDO HOLDINGS CORP.,B2BC,Residential/Commercial
4940,MUNDO FERT CORP.,B2BC,Dealer
4941,FUNDACION MUNDO DEL SUR,PUB,Community Association
4942,"MUNDO TEXTILE CO., LIMITED",B2BC,Dealer
4943,"IMPORTADORA NUEVO MUNDO, INC.",B2BC,Food
4944,DAL MUNDO SHIPPING TRADING INC.,B2BC,Moving/Transfer Service
4945,MUNDO INVESTMENTS LTD.,B2BC,Residential/Commercial
4946,MUNDO EQUITIES LTD.,B2BC,Dealer
4947,MUNDO LTD,B2B,Wholesale  Dealer
4948,MUNDO TRAVEL INC.,B2BC,Travel Agent
4949,MUNDO DE VOVIAS COMPANY LIMITED,B2BC,Dealer
4950,NUEVO MUNDO INVESTMENTS INC.,B2BC,Residential/Commercial
4951,EL MUNDO GROUP HOLDINGS LTD.,B2BC,Residential/Commercial
4952,MUNDO NOBO RESTAURANT,B2BC,Food
4953,EL NUEVO MUNDO,B2BC,Food
4954,EL NUEVO MUNDO,B2BC,Food
4955,MUNDO ANCHO,B2BC,Food
4956,MUNDO NOBO SUPERMARKET,B2BC,Food
4957,MUNDO NOBO SUPERMARKET N.V.,B2BC,Food
4958,MUNDO EQUINO,B2BC,Food
4959,TERCER MUNDO BOOKS INTERNATIONAL AVV,B2BC,Dealer
4960,MUNDO FELIZ DAY CARE,B2C,Health and Beauty
4961,EL MUNDO CONSULTANCY BUREAU,B2BC,Referral Services
4962,MUNDO'S HEALTH CENTER,B2C,Health and Beauty
4963,OOIEVAAR Y SU MUNDO INFANTIL,B2BC,Food
4964,MUNDO DE LA TIJERA,B2BC,Food
4965,BIENVENIDO AL MUNDO DE LAS FLACAS,B2BC,Entertainment Services
4966,MUNDO NET,B2BC,Dealer
4967,MUNDO INFANTIL-INFANT WORLD-SPEELSCHOOL,B2BC,Instruction
4968,MUNDO DI MAESTRO,B2BC,Food
4969,FUNDACION MUCHANAN DI MUNDO NOBO,PUB,Community Association
4970,BABY NA MUNDO,B2BC,Dealer
4971,MODISTERIA MUNDO GRANDI,B2BC,Dealer
4972,BABY NA MUNDO,B2BC,Dealer
4973,MUNDO DI FIESTA ALADDIN,B2BC,Food
4974,MODISTERIA MUNDO GRANDI,B2BC,Dealer
4975,STICHTING MUNDO DI MUCHA Y HOBEN CU HESUS,B2BC,Entertainment Services
4976,EL MUNDO HOLDING N.V.,B2BC,Dealer
4977,MUNDO COUNTRY,B2BC,Food
4978,FUNDACION OBRA EVANGELICA LUZ DEL MUNDO ARUBA,PUB,Community Association
4979,MUNDO DI TECNOLOGIA PHONE SHOP,B2BC,Dealer
4980,NUEVO MUNDO FOUNDATION,PUB,Community Association
4981,EL MUNDO INVESTMENTS COMPANY LIMITED,B2BC,Residential/Commercial
4982,MUNDO AGENCIES LIMITED,B2B,Wholesale  Dealer
4983,"VISTA DEL MUNDO GROUP, LTD.",B2BC,Residential/Commercial
4984,"AMIGOS DEL MUNDO CONSULTORES, INC.",B2BC,Referral Services
4985,GRAN MUNDO INC.,B2BC,Food
4986,"CARGO MUNDO, LLC",B2B,Wholesale  Dealer
4987,MUNDO MADERA LLC,B2BC,Food
4988,MUNDO HOLDINGS LLC,B2BC,Residential/Commercial
4989,MUNDO NETWORK LTD.,B2BC,Computer Services
4990,LATINAGUAS ANDINA S.A.,B2BC,Food
4991,AGRICOLA ANDINA S.A.,B2BC,Dealer
4992,ANDINA WORLDWIDE INC.,B2B,Wholesale  Dealer
4993,"ANDINA DE INVERSIONES 2002, CA LTD.",B2BC,Financial Services
4994,ANDINA INVESTMENTS MANAGEMENT CORP.,B2BC,Residential/Commercial
4995,"SELECT CAPITAL ANDINA, S.A.",B2BC,Financial Services
4996,ANDINA ICE INDUSTRIAL N.V.,B2B,Wholesale  Dealer
4997,RED POSTAL ANDINA AVV,B2BC,Dealer
4998,ANDINA INVESTMENTS A.V.V.,B2BC,Residential/Commercial
4999,ANDINA PRODUCTS N.V. - SOLSINA,B2B,Wholesale  Dealer
5000,PETRO ANDINA HOLDINGS (BARBADOS) LTD.,B2BC,Residential/Commercial
5001,CASA ANDINA PROPERTIES LLC,B2BC,Residential/Commercial
5002,ANDINA HOLDINGS LIMITED,B2BC,Residential/Commercial
5003,SERNA INTERNATIONAL S.A.,B2BC,Referral Services
5004,SERNA TRADING LTD.,B2B,Wholesale  Dealer
5005,SERNA INVESTMENTS CORP,B2BC,Residential/Commercial
5006,LINARES LIMITED,B2BC,Contractor
5007,LINARES TRADING LIMITED,B2B,Wholesale  Dealer
5008,LINARES INC.,B2BC,Contractor
5009,LINARES INVESTMENTS LIMITED,B2BC,Residential/Commercial
5010,LINARES MANAGEMENT INC.,B2BC,Contractor
5011,TOVAR LIMITED,B2BC,Contractor
5012,GARZON CAPITAL LTD.,B2BC,Financial Services
5013,RÍO BUENO INVESTMENTS LTD.,B2BC,Residential/Commercial
5014,BUENO HOLDING S.A.,B2BC,Dealer
5015,"BUENO TECHNOLOGY CO., LTD.",B2BC,Computer Services
5016,BUENO LTD.,B2BC,Food
5017,ARROYO BUENO S.A.,B2BC,Food
5018,BUENO OCEANIC LTD.,B2BC,Food
5019,BUENO RETIRO INVESTMENT LTD,B2BC,Residential/Commercial
5020,"VIVA BUENO, LLC",B2BC,Food
5021,"PANACOL INTERNATIONAL INVESTMENT, S.A.",B2BC,Financial Services
5022,AGROINDUSTRIALES DEL ISTMO S. A.,B2BC,Contractor
5023,"COMPRAMERICA DEL ISTMO, S.A.",B2BC,Dealer
5024,"COMPRAMERICA DEL ISTMO, S.A.",B2BC,Dealer
5025,ISTMO DE ENERGIA S.A.,B2BC,Dealer
5026,ISTMO DE ENERGIA S.A.,B2BC,Dealer
5027,"ISTMO ENERGETICO, S.A.",B2BC,Dealer
5028,"ISTMO ENERGÉTICO, S.A",B2BC,Dealer
5029,ISTMO TRADING CO. CORPORATION,B2B,Wholesale  Dealer
5030,"CERAGEM ISTMO, S. A.",B2BC,Dealer
5031,INVERSIONES OEL ISTMO S.A.,B2BC,Entertainment Services
5032,ORBITAL SERVICES INC.,B2BC,Dealer
5033,ORBITAL ASSOCIATES INC.,B2BC,Contractor
5034,ORBITAL HOLDINGS GROUP CORP.,B2BC,Residential/Commercial
5035,ORBITAL RESOURCES CORP.,B2B,Wholesale  Dealer
5036,ORBITAL INVESTMENTS HOLDING LTD.,B2BC,Residential/Commercial
5037,ORBITAL RESOURCES INC.,B2BC,Computer Services
5038,ORBITAL TRADING SERVICES LIMITED,B2B,Wholesale  Dealer
5039,D-ORBITAL DEVELOPMENTS LIMITED,B2BC,Contractor
5040,ORBITAL HOLDINGS LTD.,B2BC,Residential/Commercial
5041,ORBITAL HORIZONS LIMITED,B2BC,Dealer
5042,ORBITAL HOLDINGS INC.,B2BC,Residential/Commercial
5043,ORBITAL CORPORATION LIMITED,B2BC,Residential/Commercial
5044,ORBITAL TRADING LTD,B2B,Wholesale  Dealer
5045,ORBITAL CORPORATION LIMITED,B2BC,Residential/Commercial
5046,ORBITAL RESEARCH LTD.,B2C,Personal Services
5047,ORBITAL DEVELOPMENT LIMITED,B2BC,Contractor
5048,ORBITAL STATION CORP.,B2BC,Dealer
5049,ORBITAL ADMINISTRATION LIMITED,B2BC,Contractor
5050,ORBITAL NETWORKS,B2BC,Computer Services
5051,ORBITAL NETWORKS N.V,B2BC,Computer Services
5052,ORBITAL OTTER LIMITED,B2BC,Dealer
5053,ORBITAL HOLDINGS LIMITED,B2BC,Residential/Commercial
5054,AVANTI SYSTEMS S.A.,B2BC,Security Services
5055,AVANTI BUSINESS S.A.,B2BC,Dealer
5056,AVANTI SYSTEMS LTD.,B2BC,Electrical Contractor
5057,AVANTI TRADING GLOBAL  S.A.,B2B,Wholesale  Dealer
5058,MODA AVANTI INTERNATIONAL S.A.,B2BC,Dealer
5059,AVANTI OVERSEAS GROUP INC.,B2BC,Referral Services
5060,AVANTI FINANCE LIMITED,B2BC,Financial Services
5061,AVANTI OVERSEAS HOLDINGS LTD.,B2B,Wholesale  Dealer
5062,"INDUSTRIAS AVANTI, S. A.",B2BC,Dealer
5063,AVANTI CAPITAL SOCIEDAD ANÓNIMA,PUB,Community Association
5064,AVANTI LIMITED,B2BC,Dealer
5065,AVANTI MARKETING CORP.,B2BC,Computer Services
5066,AVANTI CORPORATION LIMITED,B2BC,Dealer
5067,AVANTI INVESTMENT CORPORATION LIMITED,B2BC,Residential/Commercial
5068,AVANTI INTERNATIONAL INC,B2BC,Dealer
5069,AVANTI SERVICES LIMITED,B2BC,Contractor
5070,AVANTI HOLDINGS LIMITED,B2BC,Residential/Commercial
5071,AVANTI INVESTMENTS LTD.,B2BC,Residential/Commercial
5072,"AVANTI CONSULTING, LIMITED",B2BC,Computer Services
5073,AVANTI DEVELOPMENT CORP,B2BC,Contractor
5074,"AVANTI CAPITAL & ASSET MANAGEMENT COMPANY, LTD",B2BC,Financial Services
5075,AVANTI ASSOCIATES INCORPORATED,B2BC,Contractor
5076,AVANTI LTD.,B2BC,Dealer
5077,AVANTI PROTECTORS LIMITED,B2BC,Dealer
5078,AVANTI WORLDWIDE HOLDINGS LTD.,B2BC,Contractor
5079,AVANTI CORPORATION AVV (I.L.),B2BC,Dealer
5080,AVANTI INVESTMENTS LIMITED,B2BC,Residential/Commercial
5081,AVANTI EXPORTING GROUP LTD,B2B,Wholesale  Dealer
5082,AVANTI 180 INC,B2BC,Studio
5083,"AVANTI MARITIME, INC.",B2BC,Dealer
5084,AVANTI PRIMO S.A.,B2BC,Dealer
5085,AVANTI ASSETS CORPORATION,B2BC,Financial Services
5086,AVANTI SERVICES CORP,B2BC,Contractor
5087,"AVANTI VENTURES, LLC",B2BC,Contractor
5088,AVANTI SHIPPING CO LTD,B2BC,Moving/Transfer Service
5089,AVANTI TRADING INTERNATIONAL LIMITED,B2B,Wholesale  Dealer
5090,AVANTI LINES LIMITED,B2BC,Dealer
5091,AVANTI HOLDING LIMITED,B2BC,Residential/Commercial
5092,AVANTI LIMITED,B2BC,Dealer
5093,EPIC AVANTI LIMITED,B2BC,Contractor
5094,CAIRO INTERNATIONAL LIMITED,B2B,Wholesale  Dealer
5095,CAIRO HOLDINGS LTD.,B2BC,Residential/Commercial
5096,CAIRO TRADING CO INC.,B2B,Wholesale  Dealer
5097,"CAIRO-PACIFIC ENTERPRISES, LTD.",B2BC,Contractor
5098,CAIRO COMPANY LIMITED,B2BC,Contractor
5099,SELI-CAIRO HOLDING LIMITED,B2BC,Residential/Commercial
5100,CAIRO INTERNATIONAL INC.,B2B,Wholesale  Dealer
5101,CAIRO LIMITED,B2BC,Residential/Commercial
5102,CAIRO NETTING COMPANY LLC,B2B,Wholesale  Dealer
5103,SEGURA ENTERPRISES S.A.,B2BC,Contractor
5104,SEGURA CORPORATION,B2BC,Dealer
5105,SEGURA INVESTMENTS LTD,B2BC,Residential/Commercial
5106,VIDA SEGURA LTD.,B2BC,Dealer
5107,ENVIOS Y ENCOMIENDAS SEGURA,B2BC,Food
5108,CABALLERO ENTERPRISES INC.,B2BC,Residential/Commercial
5109,CABALLERO GALAOR CORPORATION,B2BC,Residential/Commercial
5110,CABALLERO ENTERPRISES LTD,B2BC,Residential/Commercial
5111,CABALLERO SNACKBAR,B2BC,Food
5112,CABALLERO & CHICA PAGEANT,B2BC,Entertainment Services
5113,CABALLERO ENTERTAINMENTS LIMITED,B2BC,Entertainment Services
5114,ALMACEN DE INFORMACION S.A.,B2BC,Entertainment Services
5115,ALMACEN HOLDINGS COMPANY LTD,B2BC,Residential/Commercial
5116,ALMACEN EL RIO,B2BC,Food
5117,ALMACEN CLARA,B2BC,Residential/Commercial
5118,ALMACEN ELUNID N.V.,B2BC,Contractor
